type,typeCode,title
subcategory,B96.1,"Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters"
subcategory,B96.2,"Escherichia coli [E. coli] as the cause of diseases classified to other chapters"
subcategory,B96.3,"Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters"
subcategory,B96.4,"Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters"
subcategory,B96.5,"Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters"
subcategory,B96.6,"Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters"
subcategory,B96.7,"Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters"
subcategory,B96.8,"Other specified bacterial agents as the cause of diseases classified to other chapters"
subcategory,B97.0,"Adenovirus as the cause of diseases classified to other chapters"
subcategory,B97.1,"Enterovirus as the cause of diseases classified to other chapters"
subcategory,B97.2,"Coronavirus as the cause of diseases classified to other chapters"
subcategory,B97.3,"Retrovirus as the cause of diseases classified to other chapters"
subcategory,B97.4,"Respiratory syncytial virus as the cause of diseases classified to other chapters"
subcategory,B97.5,"Reovirus as the cause of diseases classified to other chapters"
subcategory,B97.6,"Parvovirus as the cause of diseases classified to other chapters"
subcategory,B97.7,"Papillomavirus as the cause of diseases classified to other chapters"
subcategory,B97.8,"Other viral agents as the cause of diseases classified to other chapters"
subcategory,B98.0,"Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters"
subcategory,B98.1,"Vibrio vulnificus as the cause of diseases classified to other chapters"
category,B99,"Other and unspecified infectious diseases"
subcategory,H60.0,"Abscess of external ear"
subcategory,H60.1,"Cellulitis of external ear"
subcategory,H60.2,"Malignant otitis externa"
subcategory,H60.3,"Other infective otitis externa"
subcategory,H60.4,"Cholesteatoma of external ear"
subcategory,H60.5,"Acute otitis externa, noninfective"
subcategory,H60.8,"Other otitis externa"
subcategory,H60.9,"Otitis externa, unspecified"
subcategory,H61.0,"Perichondritis of external ear"
subcategory,H61.1,"Noninfective disorders of pinna"
subcategory,H61.2,"Impacted cerumen"
subcategory,H61.3,"Acquired stenosis of external ear canal"
subcategory,H61.8,"Other specified disorders of external ear"
subcategory,H61.9,"Disorder of external ear, unspecified"
subcategory,H62.0,"Otitis externa in bacterial diseases classified elsewhere"
subcategory,H62.1,"Otitis externa in viral diseases classified elsewhere"
subcategory,H62.2,"Otitis externa in mycoses"
subcategory,H62.3,"Otitis externa in other infectious and parasitic diseases classified elsewhere"
subcategory,H62.4,"Otitis externa in other diseases classified elsewhere"
subcategory,H62.8,"Other disorders of external ear in diseases classified elsewhere"
subcategory,H65.0,"Acute serous otitis media"
subcategory,H65.1,"Other acute nonsuppurative otitis media"
subcategory,H65.2,"Chronic serous otitis media"
subcategory,H65.3,"Chronic mucoid otitis media"
subcategory,H65.4,"Other chronic nonsuppurative otitis media"
subcategory,H65.9,"Nonsuppurative otitis media, unspecified"
subcategory,H66.0,"Acute suppurative otitis media"
subcategory,H66.1,"Chronic tubotympanic suppurative otitis media"
subcategory,H66.2,"Chronic atticoantral suppurative otitis media"
subcategory,H66.3,"Other chronic suppurative otitis media"
subcategory,H66.4,"Suppurative otitis media, unspecified"
subcategory,H66.9,"Otitis media, unspecified"
subcategory,H67.0,"Otitis media in bacterial diseases classified elsewhere"
subcategory,H67.1,"Otitis media in viral diseases classified elsewhere"
subcategory,H67.8,"Otitis media in other diseases classified elsewhere"
subcategory,H68.0,"Eustachian salpingitis"
subcategory,H68.1,"Obstruction of Eustachian tube"
subcategory,H69.0,"Patulous Eustachian tube"
subcategory,H69.8,"Other specified disorders of Eustachian tube"
subcategory,H69.9,"Eustachian tube disorder, unspecified"
subcategory,H70.0,"Acute mastoiditis"
subcategory,H70.1,"Chronic mastoiditis"
subcategory,H70.2,"Petrositis"
subcategory,H70.8,"Other mastoiditis and related conditions"
subcategory,H70.9,"Mastoiditis, unspecified"
category,H71,"Cholesteatoma of middle ear"
subcategory,H72.0,"Central perforation of tympanic membrane"
subcategory,H72.1,"Attic perforation of tympanic membrane"
subcategory,H72.2,"Other marginal perforations of tympanic membrane"
subcategory,H72.8,"Other perforations of tympanic membrane"
subcategory,H72.9,"Perforation of tympanic membrane, unspecified"
subcategory,H73.0,"Acute myringitis"
subcategory,H73.1,"Chronic myringitis"
subcategory,H73.8,"Other specified disorders of tympanic membrane"
subcategory,H73.9,"Disorder of tympanic membrane, unspecified"
subcategory,H74.0,"Tympanosclerosis"
subcategory,H74.1,"Adhesive middle ear disease"
subcategory,H74.2,"Discontinuity and dislocation of ear ossicles"
subcategory,H74.3,"Other acquired abnormalities of ear ossicles"
subcategory,H74.4,"Polyp of middle ear"
subcategory,H74.8,"Other specified disorders of middle ear and mastoid"
subcategory,H74.9,"Disorder of middle ear and mastoid, unspecified"
subcategory,H75.0,"Mastoiditis in infectious and parasitic diseases classified elsewhere"
subcategory,H75.8,"Other specified disorders of middle ear and mastoid in diseases classified elsewhere"
subcategory,H80.0,"Otosclerosis involving oval window, nonobliterative"
subcategory,H80.1,"Otosclerosis involving oval window, obliterative"
subcategory,H80.2,"Cochlear otosclerosis"
subcategory,H80.8,"Other otosclerosis"
subcategory,H80.9,"Otosclerosis, unspecified"
subcategory,H81.0,"Ménière disease"
subcategory,H81.1,"Benign paroxysmal vertigo"
subcategory,H81.2,"Vestibular neuronitis"
subcategory,H81.3,"Other peripheral vertigo"
subcategory,H81.4,"Vertigo of central origin"
subcategory,H81.8,"Other disorders of vestibular function"
subcategory,H81.9,"Disorder of vestibular function, unspecified"
category,H82,"Vertiginous syndromes in diseases classified elsewhere"
subcategory,H83.0,"Labyrinthitis"
subcategory,H83.1,"Labyrinthine fistula"
subcategory,H83.2,"Labyrinthine dysfunction"
subcategory,H83.3,"Noise effects on inner ear"
subcategory,H83.8,"Other specified diseases of inner ear"
subcategory,H83.9,"Disease of inner ear, unspecified"
subcategory,H90.0,"Conductive hearing loss, bilateral"
subcategory,H90.1,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side"
subcategory,H90.2,"Conductive hearing loss, unspecified"
subcategory,H90.3,"Sensorineural hearing loss, bilateral"
subcategory,H90.4,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
subcategory,H90.5,"Sensorineural hearing loss, unspecified"
subcategory,H90.6,"Mixed conductive and sensorineural hearing loss, bilateral"
subcategory,H90.7,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
subcategory,H90.8,"Mixed conductive and sensorineural hearing loss, unspecified"
subcategory,H91.0,"Ototoxic hearing loss"
subcategory,H91.1,"Presbycusis"
subcategory,H91.2,"Sudden idiopathic hearing loss"
subcategory,H91.3,"Deaf mutism, not elsewhere classified"
subcategory,H91.8,"Other specified hearing loss"
subcategory,H91.9,"Hearing loss, unspecified"
subcategory,H92.0,"Otalgia"
subcategory,H92.1,"Otorrhoea"
subcategory,H92.2,"Otorrhagia"
subcategory,H93.0,"Degenerative and vascular disorders of ear"
subcategory,H93.1,"Tinnitus"
subcategory,H93.2,"Other abnormal auditory perceptions"
subcategory,H93.3,"Disorders of acoustic nerve"
subcategory,H93.8,"Other specified disorders of ear"
subcategory,H93.9,"Disorder of ear, unspecified"
subcategory,H94.0,"Acoustic neuritis in infectious and parasitic diseases classified elsewhere"
subcategory,H94.8,"Other specified disorders of ear in diseases classified elsewhere"
subcategory,H95.0,"Recurrent cholesteatoma of postmastoidectomy cavity"
subcategory,H95.1,"Other disorders following mastoidectomy"
subcategory,H95.8,"Other postprocedural disorders of ear and mastoid process"
subcategory,H95.9,"Postprocedural disorder of ear and mastoid process, unspecified"
subcategory,H00.0,"Hordeolum and other deep inflammation of eyelid"
subcategory,H00.1,"Chalazion"
subcategory,H01.0,"Blepharitis"
subcategory,H01.1,"Noninfectious dermatoses of eyelid"
subcategory,H01.8,"Other specified inflammation of eyelid"
subcategory,H01.9,"Inflammation of eyelid, unspecified"
subcategory,H02.0,"Entropion and trichiasis of eyelid"
subcategory,H02.1,"Ectropion of eyelid"
subcategory,H02.2,"Lagophthalmos"
subcategory,H02.3,"Blepharochalasis"
subcategory,H02.4,"Ptosis of eyelid"
subcategory,H02.5,"Other disorders affecting eyelid function"
subcategory,H02.6,"Xanthelasma of eyelid"
subcategory,H02.7,"Other degenerative disorders of eyelid and periocular area"
subcategory,H02.8,"Other specified disorders of eyelid"
subcategory,H02.9,"Disorder of eyelid, unspecified"
subcategory,H03.0,"Parasitic infestation of eyelid in diseases classified elsewhere"
subcategory,H03.1,"Involvement of eyelid in other infectious diseases classified elsewhere"
subcategory,H03.8,"Involvement of eyelid in other diseases classified elsewhere"
subcategory,H04.0,"Dacryoadenitis"
subcategory,H04.1,"Other disorders of lacrimal gland"
subcategory,H04.2,"Epiphora"
subcategory,H04.3,"Acute and unspecified inflammation of lacrimal passages"
subcategory,H04.4,"Chronic inflammation of lacrimal passages"
subcategory,H04.5,"Stenosis and insufficiency of lacrimal passages"
subcategory,H04.6,"Other changes in lacrimal passages"
subcategory,H04.8,"Other disorders of lacrimal system"
subcategory,H04.9,"Disorder of lacrimal system, unspecified"
subcategory,H05.0,"Acute inflammation of orbit"
subcategory,H05.1,"Chronic inflammatory disorders of orbit"
subcategory,H05.2,"Exophthalmic conditions"
subcategory,H05.3,"Deformity of orbit"
subcategory,H05.4,"Enophthalmos"
subcategory,H05.5,"Retained (old) foreign body following penetrating wound of orbit"
subcategory,H05.8,"Other disorders of orbit"
subcategory,H05.9,"Disorder of orbit, unspecified"
subcategory,H06.0,"Disorders of lacrimal system in diseases classified elsewhere"
subcategory,H06.1,"Parasitic infestation of orbit in diseases classified elsewhere"
subcategory,H06.2,"Dysthyroid exophthalmos"
subcategory,H06.3,"Other disorders of orbit in diseases classified elsewhere"
subcategory,H10.0,"Mucopurulent conjunctivitis"
subcategory,H10.1,"Acute atopic conjunctivitis"
subcategory,H10.2,"Other acute conjunctivitis"
subcategory,H10.3,"Acute conjunctivitis, unspecified"
subcategory,H10.4,"Chronic conjunctivitis"
subcategory,H10.5,"Blepharoconjunctivitis"
subcategory,H10.8,"Other conjunctivitis"
subcategory,H10.9,"Conjunctivitis, unspecified"
subcategory,H11.0,"Pterygium"
subcategory,H11.1,"Conjunctival degenerations and deposits"
subcategory,H11.2,"Conjunctival scars"
subcategory,H11.3,"Conjunctival haemorrhage"
subcategory,H11.4,"Other conjunctival vascular disorders and cysts"
subcategory,H11.8,"Other specified disorders of conjunctiva"
subcategory,H11.9,"Disorder of conjunctiva, unspecified"
subcategory,H13.0,"Filarial infection of conjunctiva"
subcategory,H13.1,"Conjunctivitis in infectious and parasitic diseases classified elsewhere"
subcategory,H13.2,"Conjunctivitis in other diseases classified elsewhere"
subcategory,H13.3,"Ocular pemphigoid"
subcategory,H13.8,"Other disorders of conjunctiva in diseases classified elsewhere"
subcategory,H15.0,"Scleritis"
subcategory,H15.1,"Episcleritis"
subcategory,H15.8,"Other disorders of sclera"
subcategory,H15.9,"Disorder of sclera, unspecified"
subcategory,H16.0,"Corneal ulcer"
subcategory,H16.1,"Other superficial keratitis without conjunctivitis"
subcategory,H16.2,"Keratoconjunctivitis"
subcategory,H16.3,"Interstitial and deep keratitis"
subcategory,H16.4,"Corneal neovascularization"
subcategory,H16.8,"Other keratitis"
subcategory,H16.9,"Keratitis, unspecified"
subcategory,H17.0,"Adherent leukoma"
subcategory,H17.1,"Other central corneal opacity"
subcategory,H17.8,"Other corneal scars and opacities"
subcategory,H17.9,"Corneal scar and opacity, unspecified"
subcategory,H18.0,"Corneal pigmentations and deposits"
subcategory,H18.1,"Bullous keratopathy"
subcategory,H18.2,"Other corneal oedema"
subcategory,H18.3,"Changes in corneal membranes"
subcategory,H18.4,"Corneal degeneration"
subcategory,H18.5,"Hereditary corneal dystrophies"
subcategory,H18.6,"Keratoconus"
subcategory,H18.7,"Other corneal deformities"
subcategory,H18.8,"Other specified disorders of cornea"
subcategory,H18.9,"Disorder of cornea, unspecified"
subcategory,H19.0,"Scleritis and episcleritis in diseases classified elsewhere"
subcategory,H19.1,"Herpesviral keratitis and keratoconjunctivitis"
subcategory,H19.2,"Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere"
subcategory,H19.3,"Keratitis and keratoconjunctivitis in other diseases classified elsewhere"
subcategory,H19.8,"Other disorders of sclera and cornea in diseases classified elsewhere"
subcategory,H20.0,"Acute and subacute iridocyclitis"
subcategory,H20.1,"Chronic iridocyclitis"
subcategory,H20.2,"Lens-induced iridocyclitis"
subcategory,H20.8,"Other iridocyclitis"
subcategory,H20.9,"Iridocyclitis, unspecified"
subcategory,H21.0,"Hyphaema"
subcategory,H21.1,"Other vascular disorders of iris and ciliary body"
subcategory,H21.2,"Degeneration of iris and ciliary body"
subcategory,H21.3,"Cyst of iris, ciliary body and anterior chamber"
subcategory,H21.4,"Pupillary membranes"
subcategory,H21.5,"Other adhesions and disruptions of iris and ciliary body"
subcategory,H21.8,"Other specified disorders of iris and ciliary body"
subcategory,H21.9,"Disorder of iris and ciliary body, unspecified"
subcategory,H22.0,"Iridocyclitis in infectious and parasitic diseases classified elsewhere"
subcategory,H22.1,"Iridocyclitis in other diseases classified elsewhere"
subcategory,H22.8,"Other disorders of iris and ciliary body in diseases classified elsewhere"
subcategory,H25.0,"Senile incipient cataract"
subcategory,H25.1,"Senile nuclear cataract"
subcategory,H25.2,"Senile cataract, morgagnian type"
subcategory,H25.8,"Other senile cataract"
subcategory,H25.9,"Senile cataract, unspecified"
subcategory,H26.0,"Infantile, juvenile and presenile cataract"
subcategory,H26.1,"Traumatic cataract"
subcategory,H26.2,"Complicated cataract"
subcategory,H26.3,"Drug-induced cataract"
subcategory,H26.4,"After-cataract"
subcategory,H26.8,"Other specified cataract"
subcategory,H26.9,"Cataract, unspecified"
subcategory,H27.0,"Aphakia"
subcategory,H27.1,"Dislocation of lens"
subcategory,H27.8,"Other specified disorders of lens"
subcategory,H27.9,"Disorder of lens, unspecified"
subcategory,H28.0,"Diabetic cataract"
subcategory,H28.1,"Cataract in other endocrine, nutritional and metabolic diseases"
subcategory,H28.2,"Cataract in other diseases classified elsewhere"
subcategory,H28.8,"Other disorders of lens in diseases classified elsewhere"
subcategory,H30.0,"Focal chorioretinal inflammation"
subcategory,H30.1,"Disseminated chorioretinal inflammation"
subcategory,H30.2,"Posterior cyclitis"
subcategory,H30.8,"Other chorioretinal inflammations"
subcategory,H30.9,"Chorioretinal inflammation, unspecified"
subcategory,H31.0,"Chorioretinal scars"
subcategory,H31.1,"Choroidal degeneration"
subcategory,H31.2,"Hereditary choroidal dystrophy"
subcategory,H31.3,"Choroidal haemorrhage and rupture"
subcategory,H31.4,"Choroidal detachment"
subcategory,H31.8,"Other specified disorders of choroid"
subcategory,H31.9,"Disorder of choroid, unspecified"
subcategory,H32.0,"Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere"
subcategory,H32.8,"Other chorioretinal disorders in diseases classified elsewhere"
subcategory,H33.0,"Retinal detachment with retinal break"
subcategory,H33.1,"Retinoschisis and retinal cysts"
subcategory,H33.2,"Serous retinal detachment"
subcategory,H33.3,"Retinal breaks without detachment"
subcategory,H33.4,"Traction detachment of retina"
subcategory,H33.5,"Other retinal detachments"
subcategory,H34.0,"Transient retinal artery occlusion"
subcategory,H34.1,"Central retinal artery occlusion"
subcategory,H34.2,"Other retinal artery occlusions"
subcategory,H34.8,"Other retinal vascular occlusions"
subcategory,H34.9,"Retinal vascular occlusion, unspecified"
subcategory,H35.0,"Background retinopathy and retinal vascular changes"
subcategory,H35.1,"Retinopathy of prematurity"
subcategory,H35.2,"Other proliferative retinopathy"
subcategory,H35.3,"Degeneration of macula and posterior pole"
subcategory,H35.4,"Peripheral retinal degeneration"
subcategory,H35.5,"Hereditary retinal dystrophy"
subcategory,H35.6,"Retinal haemorrhage"
subcategory,H35.7,"Separation of retinal layers"
subcategory,H35.8,"Other specified retinal disorders"
subcategory,H35.9,"Retinal disorder, unspecified"
subcategory,H36.0,"Diabetic retinopathy"
subcategory,H36.8,"Other retinal disorders in diseases classified elsewhere"
subcategory,H40.0,"Glaucoma suspect"
subcategory,H40.1,"Primary open-angle glaucoma"
subcategory,H40.2,"Primary angle-closure glaucoma"
subcategory,H40.3,"Glaucoma secondary to eye trauma"
subcategory,H40.4,"Glaucoma secondary to eye inflammation"
subcategory,H40.5,"Glaucoma secondary to other eye disorders"
subcategory,H40.6,"Glaucoma secondary to drugs"
subcategory,H40.8,"Other glaucoma"
subcategory,H40.9,"Glaucoma, unspecified"
subcategory,H42.0,"Glaucoma in endocrine, nutritional and metabolic diseases"
subcategory,H42.8,"Glaucoma in other diseases classified elsewhere"
subcategory,H43.0,"Vitreous prolapse"
subcategory,H43.1,"Vitreous haemorrhage"
subcategory,H43.2,"Crystalline deposits in vitreous body"
subcategory,H43.3,"Other vitreous opacities"
subcategory,H43.8,"Other disorders of vitreous body"
subcategory,H43.9,"Disorder of vitreous body, unspecified"
subcategory,H44.0,"Purulent endophthalmitis"
subcategory,H44.1,"Other endophthalmitis"
subcategory,H44.2,"Degenerative myopia"
subcategory,H44.3,"Other degenerative disorders of globe"
subcategory,H44.4,"Hypotony of eye"
subcategory,H44.5,"Degenerated conditions of globe"
subcategory,H44.6,"Retained (old) intraocular foreign body, magnetic"
subcategory,H44.7,"Retained (old) intraocular foreign body, nonmagnetic"
subcategory,H44.8,"Other disorders of globe"
subcategory,H44.9,"Disorder of globe, unspecified"
subcategory,H45.0,"Vitreous haemorrhage in diseases classified elsewhere"
subcategory,H45.1,"Endophthalmitis in diseases classified elsewhere"
subcategory,H45.8,"Other disorders of vitreous body and globe in diseases classified elsewhere"
category,H46,"Optic neuritis"
subcategory,H47.0,"Disorders of optic nerve, not elsewhere classified"
subcategory,H47.1,"Papilloedema, unspecified"
subcategory,H47.2,"Optic atrophy"
subcategory,H47.3,"Other disorders of optic disc"
subcategory,H47.4,"Disorders of optic chiasm"
subcategory,H47.5,"Disorders of other visual pathways"
subcategory,H47.6,"Disorders of visual cortex"
subcategory,H47.7,"Disorder of visual pathways, unspecified"
subcategory,H48.0,"Optic atrophy in diseases classified elsewhere"
subcategory,H48.1,"Retrobulbar neuritis in diseases classified elsewhere"
subcategory,H48.8,"Other disorders of optic nerve and visual pathways in diseases classified elsewhere"
subcategory,H49.0,"Third [oculomotor] nerve palsy"
subcategory,H49.1,"Fourth [trochlear] nerve palsy"
subcategory,H49.2,"Sixth [abducent] nerve palsy"
subcategory,H49.3,"Total (external) ophthalmoplegia"
subcategory,H49.4,"Progressive external ophthalmoplegia"
subcategory,H49.8,"Other paralytic strabismus"
subcategory,H49.9,"Paralytic strabismus, unspecified"
subcategory,H50.0,"Convergent concomitant strabismus"
subcategory,H50.1,"Divergent concomitant strabismus"
subcategory,H50.2,"Vertical strabismus"
subcategory,H50.3,"Intermittent heterotropia"
subcategory,H50.4,"Other and unspecified heterotropia"
subcategory,H50.5,"Heterophoria"
subcategory,H50.6,"Mechanical strabismus"
subcategory,H50.8,"Other specified strabismus"
subcategory,H50.9,"Strabismus, unspecified"
subcategory,H51.0,"Palsy of conjugate gaze"
subcategory,H51.1,"Convergence insufficiency and excess"
subcategory,H51.2,"Internuclear ophthalmoplegia"
subcategory,H51.8,"Other specified disorders of binocular movement"
subcategory,H51.9,"Disorder of binocular movement, unspecified"
subcategory,H52.0,"Hypermetropia"
subcategory,H52.1,"Myopia"
subcategory,H52.2,"Astigmatism"
subcategory,H52.3,"Anisometropia and aniseikonia"
subcategory,H52.4,"Presbyopia"
subcategory,H52.5,"Disorders of accommodation"
subcategory,H52.6,"Other disorders of refraction"
subcategory,H52.7,"Disorder of refraction, unspecified"
subcategory,H53.0,"Amblyopia ex anopsia"
subcategory,H53.1,"Subjective visual disturbances"
subcategory,H53.2,"Diplopia"
subcategory,H53.3,"Other disorders of binocular vision"
subcategory,H53.4,"Visual field defects"
subcategory,H53.5,"Colour vision deficiencies"
subcategory,H53.6,"Night blindness"
subcategory,H53.8,"Other visual disturbances"
subcategory,H53.9,"Visual disturbance, unspecified"
subcategory,H54.0,"Blindness, binocular"
subcategory,H54.1,"Severe visual impairment, binocular"
subcategory,H54.2,"Moderate visual impairment, binocular"
subcategory,H54.3,"Mild or no visual impairment, binocular"
subcategory,H54.4,"Blindness, monocular"
subcategory,H54.5,"Severe visual impairment, monocular"
subcategory,H54.6,"Moderate visual impairment, monocular"
subcategory,H54.9,"Unspecified visual impairment (binocular)"
category,H55,"Nystagmus and other irregular eye movements"
subcategory,H57.0,"Anomalies of pupillary function"
subcategory,H57.1,"Ocular pain"
subcategory,H57.8,"Other specified disorders of eye and adnexa"
subcategory,H57.9,"Disorder of eye and adnexa, unspecified"
subcategory,H58.0,"Anomalies of pupillary function in diseases classified elsewhere"
subcategory,H58.1,"Visual disturbances in diseases classified elsewhere"
subcategory,H58.8,"Other specified disorders of eye and adnexa in diseases classified elsewhere"
subcategory,H59.0,"Keratopathy (bullous aphakic) following cataract surgery"
subcategory,H59.8,"Other postprocedural disorders of eye and adnexa"
subcategory,H59.9,"Postprocedural disorder of eye and adnexa, unspecified"
subcategory,G00.0,"Haemophilus meningitis"
subcategory,G00.1,"Pneumococcal meningitis"
subcategory,G00.2,"Streptococcal meningitis"
subcategory,G00.3,"Staphylococcal meningitis"
subcategory,G00.8,"Other bacterial meningitis"
subcategory,G00.9,"Bacterial meningitis, unspecified"
category,G01,"Meningitis in bacterial diseases classified elsewhere"
subcategory,G02.0,"Meningitis in viral diseases classified elsewhere"
subcategory,G02.1,"Meningitis in mycoses"
subcategory,G02.8,"Meningitis in other specified infectious and parasitic diseases classified elsewhere"
subcategory,G03.0,"Nonpyogenic meningitis"
subcategory,G03.1,"Chronic meningitis"
subcategory,G03.2,"Benign recurrent meningitis [Mollaret]"
subcategory,G03.8,"Meningitis due to other specified causes"
subcategory,G03.9,"Meningitis, unspecified"
subcategory,G04.0,"Acute disseminated encephalitis"
subcategory,G04.1,"Human T-cell lymphotropic virus associated myelopathy"
subcategory,G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
subcategory,G04.8,"Other encephalitis, myelitis and encephalomyelitis"
subcategory,G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified"
subcategory,G05.0,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
subcategory,G05.1,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
subcategory,G05.2,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
subcategory,G05.8,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere"
subcategory,G06.0,"Intracranial abscess and granuloma"
subcategory,G06.1,"Intraspinal abscess and granuloma"
subcategory,G06.2,"Extradural and subdural abscess, unspecified"
category,G07,"Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere"
category,G08,"Intracranial and intraspinal phlebitis and thrombophlebitis"
category,G09,"Sequelae of inflammatory diseases of central nervous system"
category,G10,"Huntington disease"
subcategory,G11.0,"Congenital nonprogressive ataxia"
subcategory,G11.1,"Early-onset cerebellar ataxia"
subcategory,G11.2,"Late-onset cerebellar ataxia"
subcategory,G11.3,"Cerebellar ataxia with defective DNA repair"
subcategory,G11.4,"Hereditary spastic paraplegia"
subcategory,G11.8,"Other hereditary ataxias"
subcategory,G11.9,"Hereditary ataxia, unspecified"
subcategory,G12.0,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
subcategory,G12.1,"Other inherited spinal muscular atrophy"
subcategory,G12.2,"Motor neuron disease"
subcategory,G12.8,"Other spinal muscular atrophies and related syndromes"
subcategory,G12.9,"Spinal muscular atrophy, unspecified"
subcategory,G13.0,"Paraneoplastic neuromyopathy and neuropathy"
subcategory,G13.1,"Other systemic atrophy primarily affecting central nervous system in neoplastic disease"
subcategory,G13.2,"Systemic atrophy primarily affecting central nervous system in myxoedema"
subcategory,G13.8,"Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere"
category,G14,"Postpolio syndrome"
category,G20,"Parkinson disease"
subcategory,G21.0,"Malignant neuroleptic syndrome"
subcategory,G21.1,"Other drug-induced secondary parkinsonism"
subcategory,G21.2,"Secondary parkinsonism due to other external agents"
subcategory,G21.3,"Postencephalitic parkinsonism"
subcategory,G21.4,"Vascular parkinsonism"
subcategory,G21.8,"Other secondary parkinsonism"
subcategory,G21.9,"Secondary parkinsonism, unspecified"
category,G22,"Parkinsonism in diseases classified elsewhere"
subcategory,G23.0,"Hallervorden-Spatz disease"
subcategory,G23.1,"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"
subcategory,G23.2,"Multiple system atrophy, parkinsonian type [MSA-P]"
subcategory,G23.3,"Multiple system atrophy, cerebellar type [MSA-C]"
subcategory,G23.8,"Other specified degenerative diseases of basal ganglia"
subcategory,G23.9,"Degenerative disease of basal ganglia, unspecified"
subcategory,G24.0,"Drug-induced dystonia"
subcategory,G24.1,"Idiopathic familial dystonia"
subcategory,G24.2,"Idiopathic nonfamilial dystonia"
subcategory,G24.3,"Spasmodic torticollis"
subcategory,G24.4,"Idiopathic orofacial dystonia"
subcategory,G24.5,"Blepharospasm"
subcategory,G24.8,"Other dystonia"
subcategory,G24.9,"Dystonia, unspecified"
subcategory,G25.0,"Essential tremor"
subcategory,G25.1,"Drug-induced tremor"
subcategory,G25.2,"Other specified forms of tremor"
subcategory,G25.3,"Myoclonus"
subcategory,G25.4,"Drug-induced chorea"
subcategory,G25.5,"Other chorea"
subcategory,G25.6,"Drug-induced tics and other tics of organic origin"
subcategory,G25.8,"Other specified extrapyramidal and movement disorders"
subcategory,G25.9,"Extrapyramidal and movement disorder, unspecified"
category,G26,"Extrapyramidal and movement disorders in diseases classified elsewhere"
subcategory,G30.0,"Alzheimer disease with early onset"
subcategory,G30.1,"Alzheimer disease with late onset"
subcategory,G30.8,"Other Alzheimer disease"
subcategory,G30.9,"Alzheimer disease, unspecified"
subcategory,G31.0,"Circumscribed brain atrophy"
subcategory,G31.1,"Senile degeneration of brain, not elsewhere classified"
subcategory,G31.2,"Degeneration of nervous system due to alcohol"
subcategory,G31.8,"Other specified degenerative diseases of nervous system"
subcategory,G31.9,"Degenerative disease of nervous system, unspecified"
subcategory,G32.0,"Subacute combined degeneration of spinal cord in diseases classified elsewhere"
subcategory,G32.8,"Other specified degenerative disorders of nervous system in diseases classified elsewhere"
category,G35,"Multiple sclerosis"
subcategory,G36.0,"Neuromyelitis optica [Devic]"
subcategory,G36.1,"Acute and subacute haemorrhagic leukoencephalitis [Hurst]"
subcategory,G36.8,"Other specified acute disseminated demyelination"
subcategory,G36.9,"Acute disseminated demyelination, unspecified"
subcategory,G37.0,"Diffuse sclerosis"
subcategory,G37.1,"Central demyelination of corpus callosum"
subcategory,G37.2,"Central pontine myelinolysis"
subcategory,G37.3,"Acute transverse myelitis in demyelinating disease of central nervous system"
subcategory,G37.4,"Subacute necrotizing myelitis"
subcategory,G37.5,"Concentric sclerosis [Baló]"
subcategory,G37.8,"Other specified demyelinating diseases of central nervous system"
subcategory,G37.9,"Demyelinating disease of central nervous system, unspecified"
subcategory,G40.0,"Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset"
subcategory,G40.1,"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures"
subcategory,G40.2,"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures"
subcategory,G40.3,"Generalized idiopathic epilepsy and epileptic syndromes"
subcategory,G40.4,"Other generalized epilepsy and epileptic syndromes"
subcategory,G40.5,"Special epileptic syndromes"
subcategory,G40.6,"Grand mal seizures, unspecified (with or without petit mal)"
subcategory,G40.7,"Petit mal, unspecified, without grand mal seizures"
