icd10code,symptoms
G95.2,"pain, muscle weakness, sensory disturbances, incontinence, fatigue"
G95.8,"numbness, tingling, muscle weakness, balance issues, bladder dysfunction"
G95.9,"pain, numbness, weakness, tingling, loss of coordination"
G96.0,"headache, nausea, vomiting, dizziness, confusion"
G96.1,"headache, nausea, blurred vision, balance issues, neck stiffness"
G96.8,"headache, dizziness, neck pain, sensory changes, motor disturbances"
G96.9,"headache, dizziness, confusion, sensory disturbances, fatigue"
G97.0,"headache, nausea, dizziness, vision changes, confusion"
G97.1,"headache, nausea, dizziness, fatigue, confusion"
G97.2,"headache, dizziness, nausea, confusion, memory problems"
G97.8,"headache, dizziness, nausea, tingling, confusion"
G97.9,"headache, dizziness, confusion, nausea, altered mental status"
G98,"numbness, tingling, weakness, fatigue, muscle spasms"
G99.0,"numbness, tingling, weakness, muscle spasms, coordination difficulties"
G99.1,"numbness, tingling, weakness, burning sensation, pain in extremities"
G99.2,"numbness, tingling, muscle weakness, pain, autonomic dysfunction"
G99.8,"numbness, tingling, weakness, muscle spasms, coordination problems"
H00.0,"redness, swelling, pain around eyelid, tenderness, small bump on eyelid"
H00.1,"redness, swelling, pain, tenderness, crusting around the eyelid"
H01.0,"swelling, redness, itching, scaling, eye irritation"
H01.1,"redness, swelling, itching, burning, discharge"
H01.8,"redness of eyelid, swelling of eyelid, itching, scaling of skin, eyelid tenderness"
H01.9,"redness, swelling, itching, watery discharge, irritation"
H02.0,"swelling, drooping eyelid, redness, discomfort, impaired vision"
H02.1,"swelling, drooping eyelid, excess tearing, eye irritation, eyelid heaviness"
H02.2,"eyelid swelling, eyelid redness, eyelid tenderness, painful eyelid, eyelid warmth"
H02.3,"swelling, pain in eyelid, red eyelid, irritation, eyelid tenderness"
H02.4,"excess tearing, redness, swelling, discomfort around eyelid, eyelid drooping"
H02.5,"drooping eyelid, reduced vision, eye strain, difficulty reading, eye fatigue"
H02.6,"eyelid drooping, difficulty opening eyes, double vision, eye fatigue, frequent blinking"
H02.7,"eye swelling, eyelid pain, redness, tearing, eyelid lump"
H02.8,"swelling, eyelid discomfort, redness, itching, eyelid lumps"
H02.9,"eye discomfort, swelling around the eyes, redness, eyelid drooping, blurred vision"
H03.0,"swelling, redness, itching, pain, discharge"
H03.1,"swelling, redness, pain, eyelid tenderness, discharge"
H03.8,"swelling around eyes, redness, itching, tearing, eye discomfort"
H04.0,"excessive tearing, watery eyes, eye irritation, redness, blurred vision"
H04.1,"excessive tearing, eye redness, blurred vision, eye irritation, foreign body sensation"
H04.2,"watery eyes, itching, burning sensation, blurry vision, eye redness"
H04.3,"dry eyes, redness, irritation, burning sensation, excessive tearing"
H04.4,"excessive tearing, watery eyes, eye discharge, eye irritation, blurred vision"
H04.5,"watery eyes, eye irritation, redness, swollen eyelids, blurred vision"
H04.6,"dry eyes, redness, irritation, blurry vision, sensitivity to light"
H04.8,"eye irritation, excessive tearing, redness, itching, swelling"
H04.9,"dry eyes, watery eyes, eye redness, itching, irritation"
H05.0,"pain around the eyes, redness, swelling, double vision, reduced eye movement"
H05.1,"proptosis, eyelid swelling, conjunctival injection, diplopia, eye pain"
H05.2,"exophthalmos, eye pain, restricted eye movement, vision changes, eyelid swelling"
H05.3,"eye pain, proptosis, eye redness, double vision, decreased eye movement"
H05.4,"proptosis, eye pain, swelling, redness, vision changes"
H05.5,"proptosis, visual disturbances, eye pain, redness, eyelid swelling"
H05.8,"pain in the orbital region, swelling around the eyes, double vision, restricted eye movement, eye redness"
H05.9,"eye pain, swelling, redness, vision changes, double vision"
H06.0,"swelling, redness, pain, excessive tearing, eyelid tenderness"
H06.1,"swelling, pain, redness, tenderness, restricted eye movement"
H06.2,"swelling, pain around eyes, redness, tenderness, eyelid heaviness"
H06.3,"eye pain, redness, tearing, swelling near the eye, eyelid tenderness"
H10.0,"redness, itching, discharge, tearing, burning sensation"
H10.1,"redness, itching, tearing, swelling, burning sensation"
H10.2,"redness, itching, tearing, discharge, gritty sensation"
H10.3,"redness, itching, burning sensation, tearing, discharge"
H10.4,"redness, itching, tearing, discharge, swollen eyelids"
H10.5,"redness, itching, tearing, swelling, discharge"
H10.8,"redness, itching, tearing, discharge, irritation"
H10.9,"redness, itching, tearing, irritation, discharge"
H11.0,"redness, irritation, discharge, foreign body sensation, itching"
H11.1,"eye redness, discomfort, itching, tearing, foreign body sensation"
H11.2,"redness, irritation, discomfort, visible growth on conjunctiva, tearing"
H11.3,"redness, irritation, itching, foreign body sensation, discharge"
H11.4,"eye redness, irritation, foreign body sensation, eye discharge, crusting of eyelids"
H11.8,"redness, irritation, tearing, foreign body sensation, decreased vision"
H11.9,"redness, itching, irritation, watery eyes, foreign body sensation"
H13.0,"eye redness, discomfort, itching, excessive tearing, blurry vision"
H13.1,"redness, eye pain, itching, discharge, swelling"
H13.2,"eye itching, redness, foreign body sensation, tearing, eye discharge"
H13.3,"eye pain, redness, irritation, tearing, blurred vision"
H13.8,"eye discomfort, redness, itching, foreign body sensation, blurred vision"
H15.0,"eye redness, blurred vision, eye pain, sensitivity to light, tearing"
H15.1,"eye redness, blurred vision, light sensitivity, eye pain, eye discharge"
H15.8,"redness of the eye, eye discomfort, photophobia, tearing, vision changes"
H15.9,"eye redness, eye pain, blurred vision, light sensitivity, tearing"
H16.0,"pain, redness, blurred vision, tearing, photophobia"
H16.1,"redness, eye pain, tearing, blurred vision, sensitivity to light"
H16.2,"eye pain, red eyes, blurred vision, tearing, light sensitivity"
H16.3,"redness, eye pain, tearing, blurred vision, sensitivity to light"
H16.4,"eye redness, pain in the eye, watery discharge, light sensitivity, blurred vision"
H16.8,"eye redness, eye pain, blurred vision, light sensitivity, tearing"
H16.9,"redness, eye pain, tearing, blurred vision, photophobia"
H17.0,"blurred vision, light sensitivity, eye redness, tearing, decreased vision"
H17.1,"vision blurring, eye redness, sensitivity to light, eye pain, watery eyes"
H17.8,"blurred vision, light sensitivity, eye redness, eye pain, decreased vision"
H17.9,"vision blurring, eye irritation, light sensitivity, eye redness, foreign body sensation"
H18.0,"blurred vision, eye redness, light sensitivity, eye pain, tearing"
H18.1,"eye pain, blurred vision, photophobia, tearing, redness"
H18.2,"eye pain, blurred vision, redness, sensitivity to light, tearing"
H18.3,"eye redness, pain, blurred vision, light sensitivity, tearing"
H18.4,"eye redness, irritation, blurred vision, light sensitivity, eye pain"
H18.5,"blurred vision, eye pain, redness, photophobia, excessive tearing"
H18.6,"blurred vision, halos around lights, eye pain, sensitivity to light, vision fluctuations"
H18.7,"eye pain, redness, blurred vision, photophobia, tearing"
H18.8,"blurred vision, eye redness, discomfort, light sensitivity, visual disturbances"
H18.9,"blurred vision, eye pain, redness, sensitivity to light, excessive tearing"
H19.0,"eye redness, pain, blurry vision, eye discharge, sensitivity to light"
H19.1,"eye redness, blurry vision, eye pain, sensitivity to light, excessive tearing"
H19.2,"eye redness, pain, blurred vision, sensitivity to light, tearing"
H19.3,"blurred vision, pain in the eye, redness of the eye, sensitivity to light, eye discharge"
H19.8,"eye redness, blurred vision, eye pain, sensitivity to light, excessive tearing"
H20.0,"eye redness, eye pain, blurred vision, sensitivity to light, tearing"
H20.1,"eye redness, pain, blurred vision, light sensitivity, tearing"
H20.2,"eye redness, eye pain, blurred vision, photophobia, tearing"
H20.8,"eye redness, pain, blurry vision, tearing, light sensitivity"
H20.9,"eye redness, pain, blurred vision, sensitivity to light, excessive tearing"
H21.0,"eye redness, blurred vision, eye pain, light sensitivity, tearing"
H21.1,"red eye, eye pain, blurred vision, sensitivity to light, excessive tearing"
H21.2,"eye redness, irritation, eye pain, blurred vision, light sensitivity"
H21.3,"eye redness, pain, blurred vision, photophobia, tearing"
H21.4,"redness of the eye, tearing, eye pain, sensitivity to light, blurred vision"
H21.5,"eye redness, irritation, watering, sensitivity to light, blurred vision"
H21.8,"eye redness, eye pain, photophobia, blurred vision, tearing"
H21.9,"eye redness, eye pain, blurred vision, tearing, sensitivity to light"
H22.0,"red eye, tearing, eye pain, decreased vision, photophobia"
H22.1,"redness, itching, tearing, burning sensation, blurry vision"
H22.8,"eye redness, eye pain, blurred vision, watering eyes, light sensitivity"
H25.0,"blurred vision, difficulty with night vision, frequent prescription changes, seeing halos around lights, and cloudy vision"
H25.1,"blurred vision, difficulty seeing at night, sensitivity to light, seeing halos around lights, fading or yellowing of colors"
H25.2,"blurred vision, decreased night vision, glare sensitivity, double vision, need for brighter light"
H25.8,"blurred vision, difficulty reading, seeing halos, color fading, increased glare"
H25.9,"blurred vision, double vision, sensitivity to light, difficulty seeing at night, need for brighter light when reading"
H26.0,"blurred vision, halos around lights, increased glare sensitivity, eye redness, reduced vision clarity"
H26.1,"blurred vision, eye pain, light sensitivity, glare, reduced visual acuity"
H26.2,"blurred vision, glare or halos, decreased night vision, double vision, faded colors"
H26.3,"blurred vision, glare sensitivity, double vision, fading colors, difficulty seeing at night"
H26.4,"blurred vision, decreased night vision, glare sensitivity, vision distortion, progressive vision loss"
H26.8,"blurred vision, eye redness, photophobia, reduced visual acuity, glare or halos around lights"
H26.9,"blurred vision, glare or halos, poor night vision, fading colors, frequent prescription changes"
H27.0,"eye redness, blurred vision, light sensitivity, eye pain, excessive tearing"
H27.1,"cloudy vision, glare or halos around lights, blurred vision, diminished color vision, difficulty with night vision"
H27.8,"blurred vision, light sensitivity, visual distortion, difficulty focusing, eye discomfort"
H27.9,"blurred vision, eye pain, abnormal eye movements, headaches, light sensitivity"
H28.0,"blurred vision, difficulty seeing at night, halos around lights, increased sensitivity to glare, decreased color vision"
H28.1,"blurred vision, glare sensitivity, reduced night vision, halos around lights, difficulty reading"
H28.2,"blurred vision, decreased night vision, glare or halos around lights, difficulty reading small print, increased sensitivity to light"
H28.8,"blurry vision, decreased vision, photophobia, glare, halos around lights"
H30.0,"eye redness, decreased vision, eye pain, photophobia, headache"
H30.1,"eye redness, discomfort or pain, blurred vision, sensitivity to light, floaters"
H30.2,"blurred vision, eye pain, redness of the eye, sensitivity to light, floaters in vision"
H30.8,"eye redness, blurry vision, eye pain, light sensitivity, floaters"
H30.9,"eye redness, blurred vision, eye pain, light sensitivity, floaters"
H31.0,"floaters, flashes of light, blurred vision, decreased visual acuity, visual field defects"
H31.1,"decreased vision, visual field defects, night blindness, color vision changes, photophobia"
H31.2,"decreased vision, floaters, scotomas, photopsia, visual field defects"
H31.3,"decreased vision, night blindness, peripheral vision loss, color vision defects, visual field abnormalities"
H31.4,"floaters, flashes of light, visual field defects, blurred vision, decreased night vision"
H31.8,"visual disturbances, blurry vision, spots or floaters, diminished night vision, peripheral vision loss"
H31.9,"blurred vision, floaters, visual disturbances, decreased peripheral vision, difficulty seeing at night"
H32.0,"floaters, flashes of light, vision loss, blurred vision, visual field defect"
H32.8,"blurred vision, visual disturbances, eye pain, floaters, photopsia"
H33.0,"floaters, flashes of light, curtain-like shadow over vision, vision loss, blurred vision"
H33.1,"blurred vision, floaters, flashes of light, peripheral vision loss, shadow over vision field"
H33.2,"flashes of light, floating spots, blurred vision, visual field loss, sudden vision changes"
H33.3,"floaters, flashes of light, blurred vision, peripheral vision loss, shadow or curtain over visual field"
H33.4,"floaters, flashes of light, vision changes, blurred vision, loss of peripheral vision"
H33.5,"floaters, blurred vision, sudden vision loss, flashes of light, shadow or curtain effect in vision"
H34.0,"sudden vision loss, visual field defect, retinal whitening, floaters, decreased visual acuity"
H34.1,"sudden vision loss, eye floaters, flashes of light, dark shadows, blurred vision"
H34.2,"sudden vision loss, retinal whitening, decreased visual acuity, central scotoma, painless visual change"
H34.8,"sudden vision loss, floaters, flashes of light, blurred vision, and loss of peripheral vision"
H34.9,"blurred vision, sudden loss of vision, floaters, flashing lights, visual field defects"
H35.0,"vision distortion, straight lines appearing wavy, blurred vision, central vision loss, difficulty reading"
H35.1,"blurred vision, difficulty seeing in low light, distorted vision, reduced contrast sensitivity, and blind spots"
H35.2,"blurred vision, floaters, visual distortions, decreased vision, peripheral vision loss"
H35.3,"blurred vision, difficulty with night vision, sensitivity to glare, reduced color vision, visual field loss"
H35.4,"vision loss, blurry vision, visual distortion, floaters, difficulty with night vision"
H35.5,"blurred vision, floaters, flashes of light, vision loss, color vision changes"
H35.6,"vision loss, blurred vision, difficulty reading, visual distortions, trouble seeing in dim light"
H35.7,"visual disturbances, blurry vision, photophobia, floaters, difficulty with night vision"
H35.8,"blurred vision, dark spots, visual field loss, flashes of light, color vision changes"
H35.9,"blurred vision, floaters, flashes of light, diminished vision, visual field loss"
H36.0,"sudden vision loss, blurred vision, scotomas, reduced visual acuity, visual field defects"
H36.8,"blurred vision, visual field defects, loss of central vision, night blindness, photopsia"
H40.0,"eye pain, blurred vision, headache, nausea, redness of the eye"
H40.1,"blurred vision, halos around lights, eye pain, nausea, headache"
H40.2,"eye pain, redness, blurred vision, headache, nausea"
H40.3,"eye redness, decreased vision, eye pain, headache, nausea"
H40.4,"blurred vision, eye pain, headache, nausea, halos around lights"
H40.5,"blurred vision, eye pain, headache, halos around lights, nausea"
H40.6,"eye redness, vision disturbances, eye pain, headache, nausea"
H40.8,"headache, blurred vision, eye pain, nausea, halos around lights"
H40.9,"blurred vision, eye pain, headache, nausea, halos around lights"
H42.0,"blurred vision, eye pain, halos around lights, headache, nausea"
H42.8,"eye pain, blurred vision, headache, nausea, vomiting"
H43.0,"floaters, flashes of light, blurred vision, dark spots, loss of peripheral vision"
H43.1,"floaters, visual disturbances, blurred vision, flashes of light, dark spots in vision"
H43.2,"floaters, blurry vision, visual disturbances, light flashes, decreased visual acuity"
H43.3,"floaters, blurred vision, flashes of light, loss of peripheral vision, visual distortion"
H43.8,"floaters, flashes of light, visual disturbances, blurred vision, eye pain"
H43.9,"blurred vision, floaters, flashes of light, reduced vision, eye pain"
H44.0,"eye pain, decreased vision, floaters, photophobia, redness"
H44.1,"vitreous floaters, blurred vision, vision distortion, shadows in vision, flashes of light"
H44.2,"blurred vision, eye redness, pain in the eye, sensitivity to light, decreased vision"
H44.3,"eye pain, redness, blurred vision, sensitivity to light, decreased visual acuity"
H44.4,"eye pain, blurred vision, redness in the eye, decreased visual acuity, photophobia"
H44.5,"eye pain, blurred vision, decreased visual acuity, eye redness, photophobia"
H44.6,"floaters, flashes of light, blurry vision, decreased visual acuity, visual field loss"
H44.7,"floaters, flashes of light, blurred vision, dark spots, reduced visual acuity"
H44.8,"eye pain, blurred vision, sensitivity to light, floaters, decrease in visual acuity"
H44.9,"blurry vision, eye pain, redness, sensitivity to light, vision changes"
H45.0,"eye pain, vision loss, photophobia, headache, blurred vision"
H45.1,"floaters, blurred vision, flashing lights, decreased vision, photopsia"
H45.8,"blurred vision, eye pain, redness, halos around lights, sensitivity to light"
H46,"vision loss, eye pain, headache, nausea, impaired color vision"
H47.0,"visual disturbances, headache, nausea, vomiting, papilledema"
H47.1,"blurred vision, visual field defects, headache, eye pain, decreased visual acuity"
H47.2,"visual disturbances, blurred vision, eye pain, optic disc abnormalities, visual field defects"
H47.3,"visual field loss, vision impairment, eye pain, blurred vision, headache"
H47.4,"blurred vision, visual field defects, optic disc swelling, decreased visual acuity, eye pain"
H47.5,"blurred vision, visual field defects, headaches, eye pain, photophobia"
H47.6,"vision loss, visual field defects, eye pain, optic disc changes, decreased visual acuity"
H47.7,"visual field defects, headaches, blurred vision, double vision, decreased visual acuity"
H48.0,"visual disturbances, eye strain, blurred vision, headaches, difficulty focusing"
H48.1,"decreased visual acuity, photophobia, visual field defects, blurred vision, difficulty with color vision"
H48.8,"visual disturbances, blurred vision, unusual eye movements, light sensitivity, partial vision loss"
H49.0,"double vision, headache, dizziness, nausea, eye movement abnormalities"
H49.1,"diplopia, headaches, difficulty focusing, head tilt, eye misalignment"
H49.2,"double vision, misalignment of eyes, difficulty focusing, eye strain, head tilt"
H49.3,"double vision, droopy eyelid, headaches, eye strain, difficulty focusing"
H49.4,"double vision, eye strain, headaches, difficulty focusing, imbalance"
H49.8,"double vision, eye strain, headache, eye misalignment, visual disturbances"
H49.9,"double vision, drooping eyelid, eye movement restriction, eye misalignment, eye fatigue"
H50.0,"double vision, eye strain, difficulty focusing, headaches, misaligned eyes"
H50.1,"double vision, eye strain, headaches, difficulty focusing, blurred vision"
H50.2,"eye misalignment, double vision, headaches, eye strain, difficulty focusing"
H50.3,"double vision, headache, eye strain, difficulty focusing, dizziness"
H50.4,"double vision, eye strain, headaches, difficulty focusing, blurred vision"
H50.5,"double vision, eye strain, headaches, difficulty focusing, dizziness"
H50.6,"double vision, headaches, eye strain, blurred vision, difficulty focusing"
H50.8,"double vision, headaches, eye strain, blurred vision, difficulty focusing"
H50.9,"double vision, eye strain, difficulty focusing, headaches, blurred vision"
H51.0,"double vision, eye misalignment, difficulty focusing, headaches, eye strain"
H51.1,"abnormal eye movements, involuntary eye oscillations, blurred vision, headaches, and dizziness"
H51.2,"double vision, eye movement incoordination, eye misalignment, headaches, perception of objects jumping"
H51.8,"double vision, eyestrain, headaches, difficulty focusing, dizziness"
H51.9,"double vision, eye strain, headaches, difficulty focusing, dizziness"
H52.0,"blurry vision, eye strain, headaches, difficulty focusing, squinting"
H52.1,"blurred vision, difficulty focusing, eyestrain, headaches, double vision"
H52.2,"blurry vision, eye strain, headaches, difficulty focusing, visual discomfort"
H52.3,"blurred vision, eye strain, headaches, difficulty focusing, visual fatigue"
H52.4,"blurred vision, headache, eye strain, double vision, difficulty focusing"
H52.5,"headaches, eye strain, blurred vision, double vision, difficulty focusing"
H52.6,"headaches, eye strain, blurred vision, difficulty focusing, and double vision"
H52.7,"blurred vision, headaches, eye strain, difficulty focusing, double vision"
H53.0,"blurred vision, halos around lights, difficulty seeing at night, eye strain, headaches"
H53.1,"blurred vision, double vision, difficulty focusing, eye strain, headaches"
H53.2,"blurred vision, eye strain, headaches, double vision, excessive blinking"
H53.3,"blurred vision, eye strain, double vision, headaches, difficulty focusing"
H53.4,"blurry vision, difficulty focusing, eye strain, headaches, double vision"
H53.5,"blurred vision, eye strain, headaches, difficulty focusing, double vision"
H53.6,"blurred vision, difficulty reading, straining eyes, headaches, double vision"
H53.8,"blurred vision, eye strain, headache, difficulty focusing, visual fatigue"
H53.9,"blurred vision, eye strain, difficulty focusing, headaches, visual fatigue"
H54.0,"blurred vision, decreased acuity, sensitivity to light, difficulty reading, frequent eye strain"
H54.1,"blurred vision, difficulty seeing at night, needing more light to read, frequent changes in vision prescriptions, loss of vision clarity"
H54.2,"blurred vision, partial vision loss, difficulty seeing in low light, reduced central vision, trouble focusing on objects"
H54.3,"blurred vision, decreased vision, partial vision loss, vision distortion, difficulty seeing in low light"
H54.4,"blurry vision, difficulty seeing at night, eye strain, headaches, frequent changes in prescription"
H54.5,"blurry vision, reduced field of vision, difficulty seeing at night, double vision, frequent vision changes"
H54.6,"blurred vision, difficulty seeing at night, need for brighter lighting, halos around lights, sensitivity to glare"
H54.9,"blurred vision, partial vision loss, difficulty seeing at night, vision impairment, unspecified vision loss"
H55,"nystagmus, dizziness, blurred vision, difficulty focusing, eye strain"
H57.0,"eye pain, discomfort, burning sensation, itching, redness"
H57.1,"eye pain, discomfort, burning sensation, redness, excessive tearing"
H57.8,"eye pain, visual disturbances, eye redness, eye fatigue, excessive tearing"
H57.9,"eye discomfort, blurred vision, eye pain, redness, excessive tearing"
H58.0,"eye pain, blurred vision, eye redness, photophobia, headache"
H58.1,"blurred vision, difficulty focusing, eye strain, double vision, headaches"
H58.8,"blurred vision, eye discomfort, dry eyes, light sensitivity, eye redness"
H59.0,"blurred vision, eye pain, sensitivity to light, visual disturbance, eye redness"
H59.8,"blurred vision, eye pain, visual field defect, photophobia, reduced vision"
H59.9,"blurred vision, eye pain, vision loss, sensitivity to light, visual disturbances"
H60.0,"ear pain, itching, redness, swelling, discharge"
H60.1,"ear pain, itching in the ear, redness of ear canal, ear discharge, swelling of ear canal"
H60.2,"ear pain, ear discharge, ear redness, swelling, itching"
H60.3,"ear pain, redness, swelling, itching, discharge"
H60.4,"ear pain, redness, swelling, itching, discharge"
H60.5,"ear pain, itching in the ear, redness in the ear canal, ear discharge, swelling in the ear"
H60.8,"ear pain, itching, ear discharge, redness, swelling"
H60.9,"ear pain, itching, redness, hearing loss, ear discharge"
H61.0,"ear pain, ear swelling, ear redness, discharge from ear, itchiness in ear"
H61.1,"ear pain, itching, swelling, redness, discharge"
H61.2,"ear pain, itching in the ear, ear discharge, feeling of fullness in the ear, or hearing loss"
H61.3,"earache, ear fullness, hearing loss, tinnitus, itching in the ear"
H61.8,"ear pain, itching, discharge, fullness, hearing loss"
H61.9,"ear pain, hearing loss, ear fullness, ear discharge, itching in the ear"
H62.0,"ear pain, ear swelling, redness around the ear, warmth over the ear region, drainage from the ear"
H62.1,"ear redness, swelling, pain, discharge, hearing loss"
H62.2,"ear pain, swelling, redness, itching, discharge"
H62.3,"ear pain, itching in the ear, redness, ear discharge, swelling"
H62.4,"ear pain, purulent discharge, hearing loss, swelling, redness"
H62.8,"ear pain, discharge from ear, hearing loss, itching in ear, swelling of ear canal"
H65.0,"ear pain, fluid drainage, hearing difficulty, fever, irritability"
H65.1,"ear pain, hearing loss, ear fullness, tinnitus, dizziness"
H65.2,"ear pain, hearing loss, ear fullness, fluid discharge, irritability"
H65.3,"ear pain, hearing loss, ear fullness, fever, irritability"
H65.4,"ear pain, hearing loss, ear fullness, fluid discharge, fever"
H65.9,"ear pain, hearing loss, ear fullness, fluid drainage, irritability"
H66.0,"ear pain, fever, hearing loss, ear discharge, irritability"
H66.1,"ear pain, hearing loss, ear fullness, tinnitus, ear discharge"
H66.2,"ear pain, fever, hearing loss, ear discharge, irritability"
H66.3,"ear pain, ear discharge, hearing loss, fever, irritability"
H66.4,"ear pain, hearing loss, ear discharge, fullness in ear, fever"
H66.9,"ear pain, hearing loss, ear drainage, fever, irritability"
H67.0,"ear pain, fever, headache, nasal congestion, sore throat"
H67.1,"ear pain, fever, hearing loss, ear discharge, headache"
H67.8,"ear pain, reduced hearing, ear discharge, dizziness, fever"
H68.0,"earache, ear discharge, hearing loss, feeling of fullness in ear, tinnitus"
H68.1,"ear pain, ear discharge, itching in the ear, hearing loss, fullness in the ear"
H69.0,"ear pain, hearing loss, ear drainage, balance difficulties, ear fullness"
H69.8,"earache, ear fullness, hearing loss, dizziness, tinnitus"
H69.9,"ear pain, hearing loss, ear fullness, ear discharge, dizziness"
H70.0,"ear pain, fever, discharge from ear, swelling behind ear, hearing loss"
H70.1,"ear pain, fever, hearing loss, ear discharge, swelling behind the ear"
H70.2,"ear pain, hearing loss, discharge from ear, headache, fever"
H70.8,"ear pain, hearing loss, fever, ear drainage, headache"
H70.9,"ear pain, fever, swelling behind the ear, hearing loss, drainage from the ear"
H71,"ear pain, ear discharge, hearing loss, ear fullness, fever"
H72.0,"ear pain, hearing loss, ear discharge, itching in the ear, feeling of fullness in the ear"
H72.1,"ear pain, hearing loss, ear discharge, tinnitus, vertigo"
H72.2,"ear pain, hearing loss, ear discharge, dizziness, itching in the ear"
H72.8,"ear discharge, hearing loss, ear pain, itching in the ear, tinnitus"
H72.9,"ear discharge, hearing loss, ear pain, tinnitus, dizziness"
H73.0,"ear pain, itching, discharge, redness, hearing loss"
H73.1,"ear pain, ear discharge, hearing loss, itchiness, redness or inflammation"
H73.8,"ear pain, hearing loss, ear discharge, tinnitus, itching in the ear"
H73.9,"ear pain, itching in the ear, ear discharge, hearing loss, ear fullness"
H74.0,"ear pain, hearing loss, ear discharge, tinnitus, dizziness"
H74.1,"ear pain, hearing loss, ear discharge, tinnitus, dizziness"
H74.2,"earache, hearing loss, dizziness, ear fullness, tinnitus"
H74.3,"ear pain, discharge from ear, itching in ear, hearing loss, feeling of fullness in ear"
H74.4,"earache, hearing loss, ear drainage, dizziness, itching in the ear"
H74.8,"ear pain, hearing loss, ear discharge, tinnitus, dizziness"
H74.9,"ear pain, hearing loss, tinnitus, ear discharge, dizziness"
H75.0,"ear pain, swelling, redness, hearing loss, discharge"
H75.8,"ear fullness, ear pain, dizziness, tinnitus, hearing loss"
H80.0,"h800 symptoms: hearing loss, vertigo, tinnitus, ear pain, balance issues"
H80.1,"hearing loss, ear pain, tinnitus, ear fullness, occasional dizziness"
H80.2,"hearing loss, ear fullness, dizziness, tinnitus, balance difficulties"
H80.8,"hearing loss, tinnitus, ear fullness, balance issues, dizziness"
H80.9,"hearing loss, ear fullness, dizziness, tinnitus, earache"
H81.0,"vertigo, nausea, vomiting, imbalance, hearing loss"
H81.1,"dizziness, vertigo, nausea, vomiting, imbalance"
H81.2,"dizziness, vertigo, imbalance, nausea, difficulty walking"
H81.3,"vertigo, tinnitus, hearing loss, imbalance, nausea"
H81.4,"dizziness, vertigo, imbalance, unsteadiness, nausea"
H81.8,"dizziness, vertigo, balance problems, nausea, headache"
H81.9,"dizziness, vertigo, imbalance, nausea, tinnitus"
H82,"dizziness, balance problems, vertigo, nausea, unsteady gait"
H83.0,"dizziness, vertigo, hearing loss, tinnitus, balance disturbances"
H83.1,"vertigo, hearing loss, tinnitus, ear fullness, nausea"
H83.2,"vertigo, hearing loss, tinnitus, ear fullness, disequilibrium"
H83.3,"hearing loss, tinnitus, dizziness, balance problems, ear fullness"
H83.8,"dizziness, hearing loss, tinnitus, ear pressure, balance issues"
H83.9,"dizziness, hearing loss, tinnitus, ear fullness, vertigo"
H90.0,"hearing loss, difficulty understanding speech, need for increased volume on devices, ringing in ears, social withdrawal"
H90.1,"gradual hearing loss, difficulty understanding speech, asking for repetitions, needing higher volumes, social withdrawal"
H90.2,"hearing loss, difficulty understanding speech, muffled sounds, frequent requests for repetition, inability to hear faint sounds"
H90.3,"decreased hearing, difficulty understanding speech, asking for repetition, needing higher volume, trouble with phone conversation"
H90.4,"bilateral reduction in hearing, difficulty understanding speech, asking for repetitions, turning up volume on devices, trouble in group conversations"
H90.5,"hearing difficulties, difficulty understanding speech, asking for repetitions, listening to tv at high volume, frequent misunderstandings"
H90.6,"hearing loss in one ear, difficulty understanding speech, tinnitus, ear fullness, dizziness"
H90.7,"hearing difficulty, misunderstanding speech, frequently asking for repetition, increased volume on devices, withdrawing from conversations"
H90.8,"hearing loss, difficulty understanding speech, tinnitus, balance issues, sensitivity to loud sounds"
H91.0,"hearing loss, tinnitus, dizziness, balance issues, difficulty understanding speech"
H91.1,"hearing loss, difficulty understanding speech, muffled hearing, ringing in ears, ear fullness"
H91.2,"hearing loss, difficulty understanding speech, needing increased volume on devices, ringing in ears, feeling of fullness in ear"
H91.3,"tinnitus, gradual hearing loss, difficulty understanding speech, ringing in the ears, ear fullness"
H91.8,"hearing loss, difficulty understanding speech, tinnitus, need for increased volume, miscommunication in groups"
H91.9,"hearing loss, difficulty in understanding speech, tinnitus, muffled hearing, sensitivity to loud sounds"
H92.0,"earache, ear pressure, hearing loss, ringing in the ear, ear discharge"
H92.1,"ear ache, ear fullness, ear drainage, hearing loss, ringing in the ear"
H92.2,"ear fullness, itching, pain, tinnitus, discomfort"
H93.0,"tinnitus, ringing in ears, buzzing sound, hissing noise, pulsatile noise"
H93.1,"tinnitus, ringing in ears, buzzing, hissing, roaring sounds"
H93.2,"tinnitus, ringing in ears, buzzing sound, hissing noise, roaring noise"
H93.3,"tinnitus, hearing ringing, hearing buzzing, hearing hissing, hearing roaring sounds"
H93.8,"tinnitus, hearing loss, ear fullness, vertigo, balance issues"
H93.9,"tinnitus, hearing loss, vertigo, ear fullness, ear pain"
H94.0,"ear pain, headache, dizziness, hearing loss, ear discharge"
H94.8,"ear pain, dizziness, ringing in ears, hearing loss, ear pressure"
H95.0,"ear pain, dizziness, hearing loss, headache, ear drainage"
H95.1,"ear pain, dizziness, tinnitus, hearing loss, ear discharge"
H95.8,"ear pain, hearing loss, dizziness, tinnitus, ear discharge"
H95.9,"ear pain, dizziness, hearing loss, tinnitus, ear discharge"
